,Text in Sade_Infortunes,Text in B,Location in Sade_Infortunes,Location in B
Sade_Justine_10,"ui voudrait les réaliser. 
On LEUR DONNA VINGT-QUATRE HEURES À L'UNE ET À L'AUTRE POUR QUITTER LE COUVENT, LEUR LAISSANT LE SOIN DE SE POURVOIR AVEC LEURS CENT ÉCUS OÙ BON LEUR SEMBLERAIT. JULIETTE, ENCHANTÉE D'ÊTRE SA MAÎTRESSE, VOULUT UN MOMENT ESSUYER LES PLEURS DE JUSTINE, MAIS VOYANT QU'ELLE N'Y RÉUSSIRAIT PAS, ELLE SE MIT À LA GRONDER AU LIEU DE LA CONSOLER, ELLE lui dit qu'elle était une bêt","u-dessus de nos pinceaux. 
On LEUR DONNA VINGT-QUATRE HEURES À L'UNE ET À L'AUTRE POUR QUITTER LE COUVENT, LEUR LAISSANT LE SOIN DE SE POURVOIR, AVEC LEURS CENT ÉCUS, OÙ BON LEUR SEMBLERAIT. JULIETTE, ENCHANTÉE D'ÊTRE SA MAÎTRESSE, VOULUT UN MOMENT ESSUYER LES PLEURS DE JUSTINE, PUIS VOYANT QU'ELLE N'Y RÉUSSIRAIT PAS, ELLE SE MIT À LA GRONDER AU LIEU DE LA CONSOLER; ELLE lui reprocha sa sensibilité; ","(6459, 6800)","(6301, 6644)"
Sade_Justine_11,"oint d'exemple que des filles MOURUSSENT DE FAIM; ELLE LUI CITA LA FILLE D'UNE DE LEURS VOISINES, QUI S'ÉTANT ÉCHAPPÉE DE LA MAISON PATERNELLE, ÉTAIT MAINTENANT RICHEMENT entretenue par un fermier gén"," il était impossible qu'elles MOURUSSENT DE FAIM. ELLE LUI CITA LA FILLE D'UNE DE LEURS VOISINES, QUI, S'ÉTANT ÉCHAPPÉE DE LA MAISON PATERNELLE, ÉTAIT AUJOURD'HUI RICHEMENT entretenue et bien plus heure","(6926, 7066)","(7715, 7857)"
Sade_Justine_12,"sait l'éloge. 
Les deux sœurs SE SÉPARÈRENT DONC SANS AUCUNE PROMESSE DE SE REVOIR, DÈS QUE LEURS INTENTIONS SE TROUVAIENT SI DIFFÉRENTES. JULIETTE QUI ALLAIT, PRÉTENDAIT-ELLE, DEVENIR UNE GRANDE DAME, CONSENTIRAIT-ELLE À REVOIR UNE PETITE fille défît les inclinations ","émir. 
Les deux jeunes filles SE SÉPARÈRENT DONC, SANS AUCUNE PROMESSE DE SE REVOIR, DÈS QUE LEURS INTENTIONS SE TROUVAIENT SI DIFFÉRENTES. JULIETTE QUI ALLAIT, PRÉTENDAIT-ELLE, DEVENIR UNE GRANDE DAME, CONSENTIRAIT-ELLE À RECEVOIR UNE PETITE fille dont les inclinations v","(7396, 7605)","(8592, 8804)"
Sade_Justine_13,"vertueuses et basses allaient LA DÉSHONORA, ET DE SON CÔTÉ JUSTINE VOUDRAIT-ELLE RISQUER SES MŒURS DANS LA SOCIÉTÉ D'UNE CRÉATURE PERVERSE QUI ALLAIT DEVENIR VICTIME DE LA CRAPULE ET DE LA DÉBAUCHE PUBLIQUE ? Chacune chercha donc des re","s basses seraient capables de LA DÉSHONORER ? ET DE SON CÔTÉ, JUSTINE VOUDRAIT-ELLE RISQUER SES MŒURS DANS LA SOCIÉTÉ D'UNE CRÉATURE PERVERSE QUI ALLAIT DEVENIR VICTIME DE LA CRAPULE ET DE LA DÉBAUCHE PUBLIQUE ? Toutes deux se firent donc ","(7665, 7841)","(8877, 9056)"
Sade_Justine_14,"rquoi donc me repousse-t-elle AUJOURD'HUI ?... HÉLAS, C'EST QUE JE SUIS ORPHELINE ET PAUVRE... C'EST QUE JE N'AI PLUS DE RESSOURCE DANS LE MONDE ET QU'ON N'ESTIME LES GENS QU'EN RAISON DES secours, ou des agréments que","ois, pourquoi me rejette-t-on AUJOURD'HUI ? HÉLAS C'EST QUE JE SUIS ORPHELINE ET PAUVRE; C'EST QUE JE N'AI PLUS DE RESSOURCES DANS LE MONDE, ET QUE L'ON N'ESTIME LES GENS QU'EN RAISON DES secours et des agréments que ","(8384, 8542)","(9611, 9768)"
Sade_Justine_15,"en disant cela le saint homme LUI AVAIT PASSÉ LA MAIN SOUS LE MENTON EN LUI DONNANT UN BAISER BEAUCOUP TROP MONDAIN POUR UN HOMME D'ÉGLISE, JUSTINE QUI NE L'AVAIT QUE TROP COMPRIS SE RETIRA FORT VITE, EN LUI DISANT : --MONSIEUR, JE NE VOUS DEMANDE NI L'AUMÔNE, NI UNE PLACE DE SERVANTE, IL Y A TROP PEU DE TEMPS QUE JE QUITTE UN ÉTAT AU-DESSUS DE CELUI QUI PEUT FAIRE SOLLICITER CES DEUX GRÂCES, pour en être encore réduite "," cela, l'interprète des dieux LUI AVAIT PASSÉ LA MAIN SOUS LE MENTON, EN LUI DONNANT UN BAISER BEAUCOUP TROP MONDAIN POUR UN HOMME D'ÉGLISE, JUSTINE, QUI NE L'AVAIT QUE TROP COMPRIS, LE REPOUSSA EN LUI DISANT : --MONSIEUR, JE NE VOUS DEMANDE NI L'AUMÔNE NI UNE PLACE DE SERVANTE; IL Y A TROP PEU DE TEMPS QUE JE QUITTE UN ÉTAT AU-DESSUS DE CELUI QUI PEUT FAIRE DÉSIRER CES DEUX GRÂCES pour être réduite à les implo","(8966, 9330)","(11324, 11678)"
Sade_Justine_16,"te, la chasse brutalement, et JUSTINE, DEUX FOIS REPOUSSÉE DÈS LE PREMIER JOUR QU'ELLE EST CONDAMNÉE À L'ISOLISME, ENTRE DANS UNE MAISON OÙ ELLE VOIT UN ÉCRITEAU, LOUE UNE PETITE CHAMBRE garnie, la paye d'avance et s","e créature, et la malheureuse JUSTINE, DEUX FOIS REPOUSSÉE DÈS LE PREMIER JOUR QU'ELLE EST CONDAMNÉE À L'ISOLISME, ENTRE DANS UNE MAISON OÙ ELLE VOIT UN ÉCRITEAU, LOUE UN PETIT CABINET garni au cinquième, le paye d","(9560, 9716)","(11935, 12089)"
Sade_Justine_17,"instant, le cœur, la richesse ET LA CONFIANCE DE M. DE CORVILLE, CONSEILLER D'ÉTAT, HOMME DANS LE PLUS GRAND CRÉDIT ET À LA VEILLE D'ENTRER DANS LE MINISTÈRE... 
LA ROUTE FUT ÉPINEUSE... ON N'EN DOUTE ASSURÉMENT PAS, C'EST PAR L'APPRENTISSAGE LE PLUS HONTEUX ET LE PLUS DUR, QUE CES DEMOISELLES-LÀ FONT LEUR CHEMIN, ET TELLE EST DANS LE LIT D'UN PRINCE AUJOURD'HUI QUI PORTE PEUT-ÊTRE ENCORE SUR ELLE LES MARQUES HUMILIANTES DE LA BRUTALITÉ DES LIBERTINS dépravés, entre les mains des","'instant, le cœur, la fortune ET LA CONFIANCE DE M. DE CORVILLE, CONSEILLER D'ÉTAT, HOMME DANS LE PLUS GRAND CRÉDIT ET À LA VEILLE D'ENTRER DANS LE MINISTÈRE ? LA CARRIÈRE FUT ÉPINEUSE, ON N'EN DOUTE ASSURÉMENT PAS : C'EST PAR L'APPRENTISSAGE LE PLUS HONTEUX ET LE PLUS DUR QUE CES DEMOISELLES-LÀ FONT LEUR CHEMIN; ET TELLE EST DANS LE LIT D'UN PRINCE AUJOURD'HUI, QUI PORTE PEUT-ÊTRE ENCORE SUR ELLE LES MARQUES HUMILIANTES DE LA BRUTALITÉ DES LIBERTINS entre les mains desquels sa j","(10312, 10736)","(12660, 13084)"
Sade_Justine_18,"s ces couvents un aumônier... UNE RELIGIEUSE, UNE CAMARADE... IL ME FAUT DES PREUVES SÛRES. 
--IL NE TIENT QU'À VOUS DE VOUS LES PROCURER, MADAME... 
Et la Du Buisson, s'étant"," la vieille... un confesseur, UNE RELIGIEUSE, UNE CAMARADE... IL ME FAUT DES PREUVES SÛRES. 
--IL NE TIENT QU'À VOUS DE VOUS LES PROCURER, MADAME, répondit Juliette en rougiss","(11525, 11640)","(13971, 14086)"
Sade_Justine_19,"vous retirer dans une chambre AVEC UNE COMMODE, UN TRUMEAU, UNE SERVANTE, ET L'ART QUE VOUS AUREZ ACQUIS CHEZ MOI VOUS DONNERA DE QUOI VOUS PROCURER LE RESTE. 
La Du Buisson s'empara du p","us retirer dans un troisième, AVEC UNE COMMODE, UN TRUMEAU, UNE SERVANTE; ET L'ART QUE VOUS AUREZ ACQUIS CHEZ MOI VOUS DONNERA, DE QUOI VOUS PROCURER LE RESTE. 
Ces recommandations faites,","(12136, 12263)","(14617, 14745)"
Sade_Justine_20,"our le crime, au moins devait-ELLE ALLER AU GRAND, ET RENONCER À LANGUIR DANS UN ÉTAT SUBALTERNE QUI EN LUI FAISANT FAIRE LES MÊMES FAUTES, EN L'AVILISSANT ÉGALEMENT, NE LUI RAPPORTAIT PAS À BEAUCOUP PRÈS LE MÊME PROFIT. Elle plut à un vieux seigneu"," pour le crime, au moins doit-ELLE ALLER AU GRAND ET RENONCER À LANGUIR DANS UN ÉTAT SUBALTERNE, QUI, EN LUI FAISANT FAIRE LES MÊMES FAUTES, EN L'AVILISSANT ÉGALEMENT, NE LUI RAPPORTE PAS, À BEAUCOUP PRÈS, LE MÊME PROFIT. Elle plaît à un vieux seigne","(13949, 14138)","(16446, 16636)"
Sade_Justine_21,"lus une de ces malheureuses a PROUVÉ SA MALHONNÊTETÉ, PLUS ON EST ENVIEUX D'ÊTRE SUR SA LISTE, IL SEMBLE QUE LE DEGRÉ DE SON AVILISSEMENT ET DE SA CORRUPTION DEVIENNE LA MESURE DES SENTIMENTS QUE L'ON OSE AFFICHER POUR ELLE. 
JULIETTE VENAIT D'ATTEINDRE SA VINGTIÈME ANNÉE LORSQU'UN comte de Lorsange, gentilhomm","e plus une de ces créatures a PROUVÉ SA MALHONNÊTETÉ, PLUS ON EST ENVIEUX D'ÊTRE SUR SA LISTE; IL SEMBLE QUE LE DEGRÉ DE SON AVILISSEMENT ET DE SA CORRUPTION DEVIENNE LA MESURE DES SENTIMENTS QUE L'ON OSE AFFICHER POUR ELLE. 
JULIETTE VENAIT D'ATTEINDRE SA VINGTIÈME ANNÉE, LORSQU'UN certain comte de Lorsange, ge","(14711, 14963)","(17210, 17463)"
Sade_Justine_22," fortune qui allait à huit, s'IL VENAIT À MOURIR AVANT ELLE, LUI DONNA UNE MAISON, DES GENS, UNE LIVRÉE, ET UNE SORTE DE CONSIDÉRATION DANS LE MONDE QUI PARVINT EN DEUX OU TROIS ANS À FAIRE OUBLIER SES DÉBUTS. CE FUT ICI OÙ LA MALHEUREUSE JULIETTE OUBLIANT TOUS LES SENTIMENTS DE SA naissance honnête et de sa bo","sura le reste de sa fortune s'IL VENAIT À MOURIR AVANT ELLE; LUI DONNA UNE MAISON, DES GENS, UNE LIVRÉE, ET UNE SORTE DE CONSIDÉRATION DANS LE MONDE, QUI PARVINT EN DEUX OU TROIS ANS À FAIRE OUBLIER SES DÉBUTS. 
CE FUT ICI QUE LA MALHEUREUSE JULIETTE, OUBLIANT TOUS LES SENTIMENTS DE SA naissance et de sa bonne éduc","(15248, 15500)","(17690, 17946)"
Sade_Justine_23,"s de son abominable forfait. 
REDEVENUE LIBRE ET COMTESSE, MME DE LORSANGE REPRIT SES ANCIENNES HABITUDES MAIS SE CROYANT QUELQUE CHOSE DANS LE MONDE, ELLE Y MIT UN PEU PLUS DE DÉCENCE; CE N'ÉTAIT PLUS UNE FILLE ENTRETENUE, C'ÉTAIT UNE RICHE VEUVE QUI DONNAIT DE JOLIS SOUPERS, CHEZ LAQUELLE LA VILLE ET la cour étaient trop heureuse","i le précipitait au tombeau. 
REDEVENUE LIBRE ET COMTESSE, MME DE LORSANGE REPRIT SES ANCIENNES HABITUDES; MAIS SE CROYANT QUELQUE CHOSE DANS LE MONDE, ELLE MIT À SA CONDUITE UN PEU MOINS D'INDÉCENTE. CE N'ÉTAIT PLUS UNE FILLE ENTRETENUE, C'ÉTAIT UNE RICHE VEUVE QUI DONNAIT DE JOLIS SOUPERS, CHEZ LAQUELLE LA COUR ET la ville étaient trop heureus","(15934, 16207)","(19165, 19452)"
Sade_Justine_24,"rop heureuses d'être admises, ET QUI NÉANMOINS COUCHAIT POUR DEUX CENTS LOUIS ET SE DONNAIT POUR CINQ CENTS PAR MOIS. JUSQU'À VINGT-SIX ans elle fit encore de brilla","ises; femme décente en un mot ET QUI NÉANMOINS COUCHAIT POUR DEUX CENTS LOUIS, ET SE DONNAIT POUR CINQ CENTS PAR MOIS. 
JUSQU'À VINGT-SIX ans, Mme de Lorsange fit enco","(16255, 16360)","(19525, 19632)"
Sade_Justine_25,"e, la malheureuse et coupable JULIETTE, SE NOIRCIT DE DEUX NOUVEAUX CRIMES SEMBLABLES AU PREMIER, L'UN POUR VOLER UN DE SES AMANTS QUI LUI AVAIT CONFIÉ UNE SOMME CONSIDÉRABLE que toute la famille de cet h"," heureusement, la malheureuse JULIETTE SE NOIRCIT DE DEUX NOUVEAUX CRIMES SEMBLABLES AU PREMIER; L'UN POUR VOLER UN DE SES AMANTS QUI LUI AVAIT CONFIÉ UNE SOMME CONSIDÉRABLE, ignorée de la famille de cet","(16643, 16787)","(19937, 20080)"
Sade_Justine_26,"rsange joignait deux ou trois INFANTICIDES; LA CRAINTE DE GÂTER SA JOLIE TAILLE, LE DÉSIR DE CACHER UNE DOUBLE INTRIGUE, TOUT LUI FIT PRENDRE LA RÉSOLUTION de se faire avorter plusieurs","ange joignait trois ou quatre INFANTICIDES. LA CRAINTE DE GÂTER SA JOLIE TAILLE, LE DÉSIR DE CACHER UNE DOUBLE INTRIGUE, TOUT LUI FIT PRENDRE LA RÉSOLUTION d'étouffer dans son sein la p","(17152, 17277)","(20396, 20521)"
Sade_Justine_27,"tes qu'il retire de sa pureté LE DÉDOMMAGENT BIENTÔT DE L'INJUSTICE DES HOMMES. 
TEL ÉTAIT DONC L'ÉTAT DES AFFAIRES DE MME DE LORSANGE LORSQUE M. DE CORVILLE, ÂGÉ DE CINQUANTE ANS ET JOUISSANT DU CRÉDIT QUE NOUS AVONS PEINT PLUS HAUT, RÉSOLUT DE SE SACRIFIER ENTIÈREMENT POUR CETTE FEMME, ET DE LA FIXER DÉCIDÉMENT À LUI. SOIT ATTENTION, SOIT PROCÉDÉS, soit sagesse de la part de M"," que lui procurent ses vertus LE DÉDOMMAGENT BIENTÔT DE L'INJUSTICE DES HOMMES. 
TEL ÉTAIT DONC L'ÉTAT DES AFFAIRES DE MME DE LORSANGE, LORSQUE M. DE CORVILLE, ÂGÉ DE CINQUANTE ANS, JOUISSANT DU CRÉDIT ET DE LA CONSIDÉRATION QUE NOUS AVONS PEINTS PLUS HAUT, RÉSOLUT DE SE SACRIFIER ENTIÈREMENT POUR CETTE FEMME ET DE LA FIXER À JAMAIS À LUI. SOIT ATTENTION, SOIT PROCÉDÉS, soit politique de la part de","(18488, 18809)","(21671, 22012)"
Sade_Justine_28,", soit procédés, soit sagesse DE LA PART DE MME DE LORSANGE, IL Y ÉTAIT PARVENU ET IL Y AVAIT QUATRE ANS QU'IL VIVAIT AVEC ELLE ABSOLUMENT COMME AVEC UNE ÉPOUSE LÉGITIME, lorsqu'une terre superbe qu'","soit procédés, soit politique DE LA PART DE MME DE LORSANGE, IL Y ÉTAIT PARVENU, ET IL Y AVAIT QUATRE ANS QU'IL VIVAIT AVEC ELLE, ABSOLUMENT COMME AVEC UNE ÉPOUSE LÉGITIME, lorsque l'acquisition d'une ","(18824, 18963)","(22029, 22170)"
Sade_Justine_29,"e toute la société voyageuse. IL PARAISSAIT QU'IL N'Y AVAIT PLUS PERSONNE DANS LA VOITURE LORSQU'UN CAVALIER DE MARÉCHAUSSÉE, DESCENDANT DU PANIER, REÇUT DANS SES BRAS, D'UN DE SES CAMARADES ÉGALEMENT NICHÉ dans la même place, une jeune","auberge la société cahotante. IL PARAISSAIT QU'IL N'Y AVAIT PLUS PERSONNE DANS LA VOITURE, LORSQU'UN CAVALIER DE MARÉCHAUSSÉE, DESCENDANT DU PANIER, REÇUT DANS SES BRAS D'UN DE SES CAMARADES ÉGALEMENT PLACÉ dans le même lieu, une fille ","(19843, 20019)","(23186, 23362)"
Sade_Justine_30," il s'agit de vol, de meurtre ET D'INCENDIE, MAIS JE VOUS AVOUE QUE MON CAMARADE ET MOI N'AVONS JAMAIS CONDUIT DE CRIMINEL AVEC AUTANT DE RÉPUGNANCE; C'EST LA CRÉATURE LA PLUS DOUCE ET QUI PARAÎT LA PLUS HONNÊTE... 
--AH, AH, DIT M. DE CORVILLE, NE POURRAIT-IL PAS Y AVOIR LÀ quelqu'une de ces bévues ordi"," il s'agit de meurtre, de vol ET D'INCENDIE; MAIS JE VOUS AVOUE QUE MON CAMARADE ET MOI N'AVONS JAMAIS CONDUIT DE CRIMINEL AVEC AUTANT DE RÉPUGNANCE; C'EST LA CRÉATURE LA PLUS DOUCE, ET QUI PARAÎT LA PLUS HONNÊTE. 
--AH, AH DIT M. DE CORVILLE, NE POURRAIT-IL PAS Y AVOIR LÀ quelques-unes de ces bévues o","(20656, 20901)","(24318, 24561)"
Sade_Justine_31,"urriture à cette malheureuse, MME DE LORSANGE QUI NE POUVAIT S'EMPÊCHER DE PRENDRE À ELLE LE PLUS VIF INTÉRÊT, ET QUI SANS DOUTE SE DISAIT À ELLE-MÊME : « CETTE misérable créature peut-être ","prendre un peu de nourriture, MME DE LORSANGE, QUI NE POUVAIT S'EMPÊCHER DE PRENDRE À ELLE LE PLUS VIF INTÉRÊT, ET QUI SANS DOUTE SE DISAIT À ELLE-MÊME : « CETTE créature, peut-être innocente","(21886, 22016)","(25380, 25511)"
Sade_Justine_32," de ma vie, madame, dit cette BELLE INFORTUNÉE EN S'ADRESSANT À LA COMTESSE, EST VOUS OFFRIR L'EXEMPLE LE PLUS FRAPPANT DES MALHEURS DE L'INNOCENCE. C'EST ACCUSER LA providence, c'est s'en plaind","ire de ma vie, madame, dit la BELLE INFORTUNÉE, EN S'ADRESSANT À LA COMTESSE, C'EST VOUS OFFRIR L'EXEMPLE LE PLUS FRAPPANT DES MALHEURS DE L'INNOCENCE, C'EST ACCUSER LA main du ciel, c'est se plaind","(22541, 22676)","(26008, 26146)"
Sade_Justine_33,"ance des yeux de cette pauvre FILLE, ET APRÈS LEUR AVOIR DONNÉ COURS UN INSTANT ELLE COMMENÇA SON RÉCIT DANS CES TERMES. 
--VOUS ME PERMETTREZ DE CACHER MON NOM ET MA NAISSANCE, MADAME, SANS ÊTRE ILLUSTRE, ELLE EST HONNÊTE, ET JE N'ÉTAIS PAS DESTINÉE À L'HUMILIATION, d'où la plus grande partie d","es yeux de cette intéressante FILLE, ET APRÈS LEUR AVOIR DONNÉ COURS UN INSTANT, ELLE COMMENÇA SON RÉCIT DANS CES TERMES : --VOUS ME PERMETTREZ DE CACHER MON NOM ET MA NAISSANCE, MADAME; SANS ÊTRE ILLUSTRE, ELLE EST HONNÊTE, ET JE N'ÉTAIS PAS DESTINÉE À L'HUMILIATION ou vous me voyez réduite. Je ","(22826, 23062)","(26365, 26602)"
Sade_Justine_34,"tés que j'éprouvai dans cette MALHEUREUSE SITUATION, DE TOUS LES PROPOS HORRIBLES QUI ME FURENT TENUS, JE NE VOUS CITERAI QUE CE QUI M'ARRIVA CHEZ M. DUBOURG, L'UN DES PLUS RICHES TRAITANTS DE LA CAPITALE. On m'avait adressée à lui co"," dans les commencements de ma MALHEUREUSE SITUATION, DE TOUS LES PROPOS HORRIBLES QUI ME FURENT TENU, JE NE VOUS CITERAI QUE CE QUI M'ARRIVA CHEZ M. DUBOURG, UN DES PLUS RICHES TRAITANTS DE LA CAPITALE. La femme chez qui je logeais","(23574, 23748)","(27067, 27238)"
Sade_Justine_35,"it mes malheurs, vint me dire QU'ELLE AVAIT ENFIN TROUVÉ UNE MAISON OÙ L'ON ME RECEVRAIT AVEC PLAISIR POURVU QUE JE M'Y COMPORTASSE BIEN. 
--OH CIEL, MADAME, LUI DIS-JE EN L'EMBRASSANT AVEC transport, cette condition es","esroches vint me dire un jour QU'ELLE AVAIT ENFIN TROUVÉ UNE MAISON OÙ L'ON ME RECEVRAIT AVEC PLAISIR, POURVU QUE JE M'Y COMPORTASSE BIEN. 
--OH CIEL, MADAME, LUI DIS-JE, EN ME JETANT AVEC transport dans ses bras, cett","(31157, 31316)","(39940, 40098)"
